Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Fire_Points,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Wilderness_Area,Soil_Type,Cover_Type
3040,244,33,213.4,-38.5,1453.8,1281.3,182,178,132,3,0,1
2637,242,37,124.2,-94.5,668.1,767.2,95,146,152,0,4,2
2035,52,33,-111.0,10.9,80.9,-792.9,82,39,49,0,2,2
2425,198,24,137.5,66.6,-14.6,-408.1,173,110,100,3,3,2
2364,301,36,14.3,-25.1,-409.5,1555.0,230,57,66,2,0,4
2409,90,0,-240.3,-45.2,2006.1,1563.7,191,123,4,0,3,2
2739,224,4,-184.5,-8.6,-317.5,674.7,121,106,57,1,0,2
1988,16,2,108.5,12.0,2655.2,-476.8,12,13,109,2,3,3
2887,84,28,-113.1,16.4,-585.1,1770.8,201,198,228,2,0,4
2049,90,34,-37.1,-72.6,-1812.0,-641.7,9,180,217,0,2,6
2425,232,28,352.6,-7.1,2571.1,699.2,57,238,81,3,1,6
2855,287,7,-347.8,3.0,-423.0,-55.7,249,17,9,0,4,2
2765,157,11,-85.0,-59.3,-2243.6,61.9,167,67,152,0,2,2
2224,267,40,184.8,-137.3,-1659.2,543.5,229,24,112,3,0,6
3208,283,3,9.7,-30.9,-2632.9,-323.6,56,163,88,0,6,5
2646,289,37,26.7,-9.7,-236.9,-950.3,5,125,220,1,0,6
2118,43,0,70.1,66.0,1192.2,-463.9,24,15,11,2,6,2
2517,148,8,-141.9,1.6,744.9,-806.4,34,30,110,0,3,2
2168,145,39,54.9,77.8,635.9,-1204.8,198,231,234,1,4,2
2674,269,27,-94.1,-20.1,-45.9,1978.7,51,176,215,0,1,2
1963,69,6,-228.8,33.4,-1648.3,1688.3,40,39,57,1,1,3
2692,91,27,10.5,-15.7,-540.1,-531.3,137,41,190,2,2,2
1792,260,8,-295.5,43.3,351.9,-805.6,78,215,229,1,1,3
2939,18,35,-214.3,46.4,362.8,-1642.5,149,133,80,0,4,2
2609,350,38,-110.9,-124.6,1218.1,1269.9,200,155,189,1,0,2
3043,94,32,-46.7,88.9,56.5,-1297.9,64,248,39,2,4,6
2216,21,23,117.3,56.5,-1856.2,-266.7,122,252,87,1,2,2
1662,39,36,-229.8,-13.4,-1492.0,-1648.0,14,150,45,0,3,3
1952,254,16,222.7,-64.0,-2274.6,-509.7,194,179,80,0,4,3
2403,89,38,116.4,-6.8,1430.2,-922.6,100,3,68,2,1,4
3286,332,14,60.3,-65.7,-671.8,209.7,189,161,24,1,4,1
2729,345,18,128.9,-41.7,-1832.7,1213.9,229,73,145,1,1,2
3025,171,41,-209.7,21.5,-768.4,1309.8,83,147,221,0,3,1
2149,262,10,282.9,-13.1,-377.1,-2068.0,209,144,3,1,1,6
2287,94,41,-14.3,35.3,1444.2,1897.7,223,86,167,1,1,2
2367,249,15,78.9,56.2,-1874.2,575.5,129,97,31,2,4,2
2968,83,8,144.5,24.0,-1412.6,2668.9,51,198,92,2,1,4
2274,31,28,85.7,-53.6,-1068.8,2163.1,57,125,124,0,5,2
2384,44,17,259.9,53.6,-1595.8,-1021.1,69,211,46,3,4,2
3148,236,13,62.5,-26.6,1003.1,-1667.4,125,129,112,1,5,1
2151,346,10,94.2,58.3,-815.2,-629.3,102,13,128,0,4,2
2487,210,37,-4.9,-16.9,-254.7,306.7,164,190,34,1,1,2
1962,19,35,-258.2,44.3,683.7,-1230.6,249,192,99,3,5,3
2406,24,34,-343.9,95.0,-2454.1,-704.7,223,253,26,3,6,6
2832,294,10,152.7,-21.2,4548.8,735.1,198,146,148,3,6,2
2977,42,34,-11.0,-32.9,-1669.8,285.3,248,200,160,2,2,2
1943,176,27,51.4,37.7,-234.6,-861.9,113,127,14,0,1,3
1490,292,10,-61.8,-43.1,-1869.7,550.7,182,239,178,2,6,3
2715,211,21,60.5,-23.7,-1604.8,-647.4,28,155,192,2,5,2
3167,222,3,65.4,-7.9,2573.2,-76.4,84,72,140,2,5,5
2220,324,30,63.0,4.6,-2506.3,407.5,32,178,49,0,0,2
2606,268,11,-69.1,13.4,-791.7,247.7,62,211,192,1,2,2
2511,245,28,130.7,35.3,-1039.2,1838.7,254,135,185,1,5,2
1637,129,34,-245.7,15.1,496.0,-314.9,219,39,236,1,2,6
1432,41,28,-120.8,7.6,-866.0,1389.6,53,85,152,2,0,4
2473,159,29,-44.0,-7.6,-413.4,2692.1,251,97,171,1,6,2
2694,244,14,-252.8,-60.4,1316.1,1446.6,236,29,164,3,6,6
1893,186,39,-474.3,-0.7,-1369.9,-1038.9,179,216,58,3,6,3
2369,258,24,-209.4,9.4,-1313.1,51.8,35,251,159,3,4,6
2183,35,6,-93.8,35.3,-2542.6,-395.6,239,217,131,0,5,2
2114,168,5,313.0,-2.0,1421.3,-319.1,219,238,192,1,6,2
1984,115,24,-258.1,-24.3,3376.8,287.4,125,203,50,3,4,3
2968,158,7,24.4,38.4,-29.3,-557.5,28,223,219,2,4,5
2504,83,2,-23.6,-3.9,90.2,-650.9,152,66,185,3,5,5
2407,326,34,-164.2,67.6,-1876.9,-1939.8,101,92,29,3,0,2
2304,15,39,54.8,2.0,-934.1,-666.1,51,66,217,3,4,2
2652,280,21,33.4,-29.9,-433.0,-2435.7,65,18,217,3,4,6
2294,281,7,-87.1,65.1,46.9,-371.7,66,246,118,0,5,2
2560,74,44,144.8,-15.9,-854.5,481.5,195,50,91,2,1,4
2187,192,11,2.7,26.4,-525.1,-1219.9,67,217,35,3,5,2
2633,45,29,185.7,-60.4,1351.7,-637.1,61,2,23,2,5,2
2369,346,31,70.8,24.4,951.8,-39.4,238,20,216,3,2,6
2716,208,30,181.1,-7.3,682.8,1017.7,42,42,124,1,6,2
1861,157,43,-71.4,-100.3,761.9,-387.5,83,134,12,2,1,4
2167,131,25,-42.7,-5.6,1532.1,-514.4,1,8,199,0,3,6
1988,84,17,40.9,-4.2,691.7,-194.6,143,127,4,0,5,3
3109,102,30,-26.6,-4.4,916.7,-87.5,156,254,167,1,6,1
2234,130,22,-114.7,55.6,-56.2,-378.4,152,200,221,2,0,4
2451,202,30,285.9,-35.2,-2584.4,1493.0,63,73,26,1,2,2
1785,351,20,203.6,52.8,-1625.8,434.0,182,18,204,1,0,6
